Name	Category	Subcategory	Type	XP Cost	FP Cost	Prereq Skill	Prereq Role	Prereq Power	Prereq Level	Tags	Description	Mechanic
Attack, Weapon	Combat	Weapon Attacks	Major	1		['Finesse > 0', 'Brute > 0']					You've been trained with basic weaponry, and maybe even taken a liking to a favorite (e.g., hammer or bow). This is your go-to tool on the battlefield.	As a Major Action in combat, you make a check to attack an Enemy. This may be performed while under the effects of another Power.
Attack, Charge	Combat	Weapon Attacks	Major	2	2		['Defender', 'Martial']	Attack, Weapon			Your weapon training allows you throw your weight into an enemy, heightening your damage.	You must move 3 spaces before using this Power. You add +1/2 to the damage on a successful Weapon Attack. Fate Points are still expended on a miss.
Attack, Sweep	Combat	Weapon Attacks	Major	2	[1, 2]		['Martial', 'Defender']	Attack, Weapon		Multi-target	Your weapon training allows you throw your weight around, potentially knocking targets off balance. Sweep the legs!	You perform you Weapon Attack on multiple contiguous characters within 1 space. For 2 FP, Targets make a DR 3 Agility check vs. your TC to avoid being Knocked Down.
Attack, Disarm	Combat	Weapon Attacks	Major	2	1		['Martial', 'Defender']				You're so skillful on the battlefield that you know how to target your attacks to focus on the enemy weapon.	When you spend an Fate Point to disarm, perfom a Weapon Attack. On a hit, the enemy must spend a Major Action picking up that weapon before using it again. This does not apply to Mystic Attacks or additional weapons the enemy may wield.
Attack, Vengeance	Combat	Weapon Attacks	Major	1			Defender	Attack, Weapon			Ever the protector on the field, you leap at the chance to avenge an ally.	When an ally takes damage in combat, you may take a Weapon Attack against the attacker on your turn with the Upper Hand.
Attack, Dual-Wield	Combat	Weapon Attacks	Minor	3				Attack, Weapon			You are adept at wielding two weapons in combat.	On your turn, you may make a second attack as a Minor Action with Lower Hand.
Attack, Dual-Wield Master	Combat	Weapon Attacks	Minor	1				Attack, Dual-Wield	3		You are a master of wielding two weapons in combat.	On your turn, you may make a second attack as a Minor Action. When making this attack, you no longer draw with the Lower Hand.
Attack, Mystic	Combat	Mystic Attacks	Major	1		['Knowlege > 0', 'Craft > 0']					You've been trained in some form of Magic to Technology and can produce the most basic form with ease. This could be an electrified touch or a blast of energy at range.	As a Major Action in combat, you can make a check to attack an Enemy. This may be performed while under the effects of another Power.
Attack, Mystic Aura	Combat	Mystic Attacks	Major	2	[1, 2]		['Caster', 'Support']	Attack, Mystic		Multi-target	You deploy resources to channel your magic all around you.	You perform your Mystic Attack on all characters within 1/2 space(s).
Attack, Mystic Amplification	Combat	Mystic Attacks	Major	1	1		['Martial', 'Caster']	Attack, Mystic			You channel your talents into a physical weapon, melding the physical and supernatural.	Designate a physical weapon. You may make a Weapon Attack with this weapon using your Primary Skill modifier. This property is lost when you use another Power.
Attack, Mystic Cone	Combat	Mystic Attacks	Major	2	1		Caster	Attack, Mystic		Multi-target	You deploy resources to channel your magic in a wide blast in front of you.	['Choose one effect when you take this power', 'You perform your Mystic Attack on all characters within a cone of 3 spaces in front of you.', 'All characters in a 3 space cone in front of you make a Contested Conviction check. On failure, they are Knocked Down']
Attack, Mystic Confusion	Combat	Mystic Attacks	Major	2	[1, 2]		['Support', 'Caster']	Attack, Mystic		Multi-target	You channel your abilities to target the psyche of your enemy to leave them incapacitated.	You draw a Target Card and force 1/3 characters to make a Conviction check against your TC. On a failure, those characters are Stunned.
Attack, Mystic Entangle	Combat	Mystic Attacks	Major	2	[1, 2]		['Support', 'Caster']	Attack, Mystic		Multi-target	You channel your abilities to tie your target in place.	You draw a Target Card and force 1/3 characters to make an Agility check against your TC. On a failure, those characters are Entangled.
Attack, Mystic Deprivation	Combat	Mystic Attacks	Major	2	[1, 2]		['Support', 'Caster']	Attack, Mystic		Multi-target	You channel your abilities deprive a target of their senses.	You select the Blinded or Deafened effect, draw a TC, and force 1/3 characters to make a Intuition check against your TC. On a failure, target(s) are under the selected effect. Targets who do not use the relevant sense are immune to this Power.
Attack, Mystic Dual-Shot	Combat	Mystic Attacks	Minor	3		Finesse > 1		Attack, Mystic		Multi-target	You are so adept mystic arts you can start another spell before even finishing the first.	On your turn, you may take a second Mystic Attack with Lower Hand.
Attack, Mystic Dual-Wield Master	Combat	Mystic Attacks	Minor	1				Attack, Mystic Dual-Shot	3	Multi-target	You are a master of wielding two weapons in combat.	On your turn, you may take a second Mystic Attack as a Minor Action.
Battlecharged	Combat	Control	Passive	1							You're always ready for something to go down.	When drawing initiative, Draw with Upper Hand.
Critical Master	Combat	Control	Passive	1					3		When you hit big, you hit BIG. Enemies don’t stand a chance against you when you make a critical hit against them.	All Critical Success attacks now deal double damage instead of adding +1 damage.
Momentum	Combat	Control	Passive	1		Brute > 1	Defender				By brute strength, force others to move around the battlefield.	As part of your movement, you attempt to move a character who is within 1 space of you. If unwilling, the target makes a Contested Strength or Agility Check to dodge. If the target is willing or fails the check, you may place the target within 1 space of end position.
Momentum Aura	Combat	Control	Passive	2		Brute > 2	Defender	Momentum		Multi-target	Your strength is supernatural, bending the gravity around you.	Your Momentum ability extends to 3 spaces, forcing any targeted opponent in that range to make a contested Strength or Agility check.
Find Weakness	Combat	Control	Minor	1					2	Difficulty Prediction	You can size up an opponent and discover their weaknesses.	As a Minor Action, you make a contested Detection check vs. the target's Bluffing. On a Success, you learn one Vulnerability and on Critical Success you learn all Vulnerabilities.
Heal	Combat	Support	Major	2	[1, 2]		Support				Can channel magical energy or medical training to heal others	Heal yourself or another you can see for 1/3 Health Points
Lend Aid	Combat	Support	Minor	1			Support				Just a little help from a friend	As a Minor Action, designate one ally who, on their next draw, will draw with the Upper Hand.
Lend Distraction	Combat	Support	Minor	1							Just an annoyance in the distance	As a Minor Action, designate a character who, on their next draw, will draw with the Lower Hand.
Lend Mass Distraction	Combat	Support	Major	2	[1, 2]			Lend Distraction	2	Multi-target	You know how to cause a scene.	Draw a Target Card. 2/3 targets make a Conviction check against your TC. On a failure, those characters draw with the Lower Hand on any actions or checks made during their next turn.
Lend Confusion	Combat	Support	Major	1			['Support', 'Caster']	Lend Distraction	2		You're such a distracting presence that you bury into the mind of your target, having a sustained effect.	As a Major Action, select one character to put under the effect of the Lend Distraction Power. At the end of each of their turns this character makes a Contested Conviction Check vs. your Primary Skill to end the effect.
Lend Mass Confusion	Combat	Support	Major	2	2		['Support', 'Caster']	Lend Confusion	3	Multi-target	You're such a distracting presence that you bury into the mind of many target, having a sustained effect.	You draw a TC. 2/3 targets make a Conviction check against your TC. On a failure, targets draw with the Lower Hand on any actions made during their turn. At the end of each of their turns, targets may repeat the check to end the effect.
Lend/Remove Skill	Combat	Support	Major	2	[1, 2]		Support				You really know how to target an ability and either support it or get in it's way.	Designate a character that you would like to Boost or Reduce and choose a Skill (or action that would require a Skill such as Attack). This character draws at Upper/Lower Hand (2/3) checks that involve this Skill.
Lend Readiness	Combat	Support	Minor	1			Support				Your talents bolster you allies' speed and alertness.	Select one character. Until the end of the next combat, this character draws their Target Card with the Upper Hand. This effect is maintained even if you use another Power.
Lend Vigor	Combat	Support	Major	2	[1, 2]		['Support', 'Caster']				Channel energy to do more than help: inspire!	Designate 1/2 character(s) who, on their next turn, can take an additional Major Action without penalty and move 2 additional spaces during their movement.
Slow	Combat	Support	Major	2	2		['Support', 'Caster']		3		You selectively bend the nature of time	Select a point in space. You initiate a Primary Skill Contested Check vs. Strength for all creatures within 2 spaces. On a failure, their speed is halved and they are limited to one Major or Minor action per turn. A creature that starts their turn outside of the area is no longer affected. Objects in the area are slowed until the effect ends or they are moved by a creature.
Shield, Others	Combat	Support	Major	2	[1, 2]		Support				Fortify others by summoning magical armor.	Add 1/2 AP to a creature you can see. This effect does not stack with other Powers, but does stack on top of AP granted by physical items.
Shield, Self	Combat	Support	Major	2	[1, 2]		Defender				Fortify yourself even further, adjusting your shield or summoning magical armor.	Add 1/2 AP to yourself. This effect is in addition to AP from physical items, but must replace AP from other Powers.
Creature Connection	Companion	None	Passive	3		['Craft > 1', 'Knowledge > 1']				Companion	You have developed a connection with a creature in your setting (e.g., animal, spirit, robot). At the end of a Full Rest you can attune to an animal as a Companion.	At the end of a Full Rest, you attempt to connect with a creature to take them as a Companion. The GM determines if this attempt was successful and may ask for a relevant Skill check. Unlike other Simple Powers, taking this Power costs 5 XP.
