Type	Name	XP	Mechanic	AOE	Category	Damage	PP	Prereq_Level	Prereq_Power	Prereq_Role	Prereq_Skill	Range	Save_DR	Save_Type	Tags	Target	ToHit
Major	Attack, Weapon	1	Major. As a Major Action in combat, you make a check to attack an Enemy. This may be performed while under the effects of another Power.		['Combat', 'Weapon Attacks']	1	0				Finesse > 0 or Brute > 0	6				1	1
Major	Attack, Charge	2	Major. For 1 or 2 PP, You must move 3 spaces before using this Power. You add +1 or 2 to the damage on a successful Weapon Attack. Power Points are still expended on a miss		['Combat', 'Weapon Attacks']	1	[1, 2]		Attack, Weapon	Defender or Martial		6				1	1
Major	Attack, Sweep	2	Major. For 1 or 2 PP, You perform you Weapon Attack on multiple contiguous characters within 1 space.. For 2 PP, on a hit, target(s) make a DR 3 AGL Save. On fail, target(s) Knocked Down.		['Combat', 'Weapon Attacks']	1	[1, 2]		Attack, Weapon	Martial or Defender		6	3	AGL	Multi-target	1	1
Major	Attack, Disarm	2	Major. For 1 PP, When you spend a Power Point to disarm, perform a Weapon Attack. On a hit, the enemy must spend a Major Action picking up that weapon before using it again. This does not apply to Mystic Attacks or additional weapons the enemy may wield		['Combat', 'Weapon Attacks']	1	1			Martial or Defender		6				1	1
Major	Attack, Vengeance	1	Major. When an ally takes damage in combat, you may take a Weapon Attack against the attacker on your next turn with the Upper Hand.		['Combat', 'Weapon Attacks']	1	0		Attack, Weapon	Defender		6				1	1
Minor	Attack, Dual-Wield	3	Minor. On your turn, you may make a second attack as a Minor Action with Lower Hand.		['Combat', 'Weapon Attacks']	1	0		Attack, Weapon		Finesse > 1 or Brute > 1	6				1	1
Minor	Attack, Dual-Wield Master	1	Minor. On your turn, you may make a second attack as a Minor Action. When making this attack, you no longer draw with the Lower Hand.		['Combat', 'Weapon Attacks']	1	0	3	Attack, Dual-Wield			6				1	1
Major	Attack, Mystic	1	Major. As a Major Action in combat, you can make a check to attack an Enemy. This may be performed while under the effects of another Power.		['Combat', 'Mystic Attacks']	1	0				Knowledge > 0 or Craft > 0	6				1	1
Major	Attack, Mystic Aura	2	Major. For 1 or 2 PP, You perform your Mystic Attack on all characters within 1 or 2 space(s)		['Combat', 'Mystic Attacks']	1	[1, 2]		Attack, Mystic	Caster or Support		6			Multi-target	1	1
Major	Attack, Mystic Amplification	1	Major. For 1 PP, Designate a physical weapon. You may make a Weapon Attack with this weapon using your Primary Skill modifier. This property is lost when you use another Power.		['Combat', 'Mystic Attacks']	1	1		Attack, Mystic	Martial or Caster		6				1	1
Major	Attack, Mystic Cone	2	Major. Mystic Attack or DR 3 CON Save to avoid being Knocked Down.. For 1 PP, All characters in a Cone 3 are subjected to this effect.		['Combat', 'Mystic Attacks']	1	1		Attack, Mystic	Caster	Knowledge > 1 or Craft > 1	6			Multi-target	1	1
Major	Attack, Mystic Confusion	2	Major. For 1 or 2 PP, You draw a Target Card and force 1 or 3 characters to make a Conviction check against your TC. On a failure, those characters are Stunned.		['Combat', 'Mystic Attacks']	1	[1, 2]		Attack, Mystic	Support or Caster		6			Multi-target	1	1
Major	Attack, Mystic Entangle	2	Major. For 1 or 2 PP, Selected targets make a Save. Once, target(s) make a DR 3 AGL Save. On fail, target(s) Entangled.		['Combat', 'Mystic Attacks']	1	[1, 2]		Attack, Mystic	Support or Caster		6	3	AGL	Multi-target	[1, 3]	1
Major	Attack, Mystic Deprivation	2	Major. For 1 or 2 PP, Select the Blinded or Deafened effect. Once, target(s) make a DR 3 GUT Save. On fail, target(s) Blinded or Deafened unless immune.		['Combat', 'Mystic Attacks']	1	[1, 2]		Attack, Mystic	Support or Caster		6	3	GUT	Multi-target	[1, 3]	1
Minor	Attack, Mystic Dual-Shot	3	Minor. On your turn, you may take a second Mystic Attack with Lower Hand.		['Combat', 'Mystic Attacks']	1	0		Attack, Mystic		Finesse > 1 or Knowledge > 1 or Craft > 1	6			Multi-target	1	1
Minor	Attack, Mystic Dual-Wield Master	1	Minor. On your turn, you may take a second Mystic Attack as a Minor Action.		['Combat', 'Mystic Attacks']	1	0	3	Attack, Mystic Dual-Shot			6			Multi-target	1	1
Passive	Battlecharged	1	Passive. When drawing initiative, Draw with Upper Hand.		['Combat', 'Control']	1	0					6				1	1
Passive	Critical Master	1	Passive. All Critical Success attacks now deal double damage instead of adding +1 damage.		['Combat', 'Control']	1	0	3				6				1	1
Passive	Momentum	1	Passive. As part of your movement, you attempt to move a character who is within 1 space of you.. If unwilling, target(s) make a DR 3 STR or AGL Save. On fail, target(s) are moved to 1 space of attacker's end position.		['Combat', 'Control']	1	0			Defender	Brute > 0	6	3	STR or AGL		1	1
Major	Momentum Aura	2	Major. For 1 PP, Your Momentum ability extends to 2 spaces.. If unwilling, target(s) make a DR 3 STR or AGL Save. On fail, target(s) be moved to 1 space of attacker's end position..		['Combat', 'Control']	1	1		Momentum	Defender	Brute > 1	6	3	STR or AGL	Multi-target	6	1
Minor	Find Weakness	1	Minor. As a Minor Action, you make a contested Detection check vs. the target's Bluffing. On a Success, you learn one Vulnerability and on Critical Success you learn all Vulnerabilities.		['Combat', 'Control']	1	0	2			Detection > 0	6			Difficulty Prediction	1	1
Minor	Pack Tactics	2	Minor. For 1 PP, When an enemy is next to one or more of your allies, you may expend a Minor Action to grant yourself Upper Hand (+1) on your next attack for each ally in their space. If allies or targets move before you attack, this bonus is adjusted accordingly.		['Combat', 'Control']	1	1	2				6			Difficulty Prediction	1	1
Major	Heal	2	Major. For 1 or 2 PP, Heal yourself or another you can see for 1 or 3 Health Points		['Combat', 'Support']	1	[1, 2]			Support		6				1	1
Minor	Lend Aid	1	Minor. Draw a card, hold it in reserve, and designate one ally. On the ally's next Draw, they may use your card as if they had Upper Hand		['Combat', 'Support']	1	0			Support		6				1	1
Minor	Lend Aid, Advanced	1	Minor. Draw a card, hold it in reserve, and designate one ally. At any time before their next rest, the ally may use your card as if they had Upper Hand. If you use this Power again before the card is used, the effect transfers to the new target.		['Combat', 'Support']	1	0		Lend Aid	Support		6				1	1
Minor	Lend Distraction	1	Minor. As a Minor Action, designate a character who, on their next draw, will draw with the Lower Hand.		['Combat', 'Support', 'Distract']	1	0					6				1	1
